overall_building_condition,max_mph,age_yrs,number_of_stories,roof_shape,roof_cover,wall_cladding,structural_framing_system
0,45,34.0,1.0,Gable,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,45,9.0,1.0,Complex,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,45,13.0,1.0,Complex,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,85,50.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,100,34.0,12.0,Other,Tile (concrete),Stucco,Masonry
1,95,41.0,2.0,Hip,Metal shingle,Wood Siding,Wood-frame
2,95,41.0,2.0,Gable/Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,50,13.0,1.0,Complex,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,50,33.0,2.0,Complex,Asphalt shingles (laminated),Wood Siding,Wood-frame
0,50,13.0,1.0,Gable,Asphalt shingles (laminated),Brick Veneer,Wood-frame
2,110,42.0,1.0,Hip,Asphalt shingles (laminated),Stucco,Wood-frame
1,95,37.0,2.0,Gable/Hip,Tile (concrete),Stucco,Wood-frame
0,50,33.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,95,38.0,2.0,Gable/Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
0,50,37.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,100,24.0,2.0,Complex,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,85,51.0,1.0,Gable,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,50,15.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,95,36.0,2.0,Complex,Slate,Wood Siding,Wood-frame
1,95,43.0,2.0,Gable/Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,85,43.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,50,37.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,95,37.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,50,38.0,2.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,95,41.0,2.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,95,48.0,1.0,Gable,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
2,95,46.0,1.0,Gable,Standing Seam Metal,Wood Siding,Wood-frame
1,95,42.0,1.0,Hip,Standing Seam Metal,Wood Siding,Wood-frame
1,95,45.0,1.0,Gable,Asphalt shingles (laminated),Stucco,Wood-frame
1,105,21.0,2.0,Hip,Tile (clay),Stucco,Masonry
0,50,38.0,1.0,Gable,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,105,38.0,2.0,Complex,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,95,22.0,2.0,Hip,Asphalt shingles (laminated),Stucco,Wood-frame
1,95,44.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
0,50,9.0,2.0,Complex,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,105,41.0,2.0,Gable,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
1,110,36.0,2.0,Complex,Tile (concrete),Stucco,Wood-frame
0,85,50.0,1.0,Gable,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,85,48.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,95,44.0,1.0,Gable,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
2,110,41.0,2.0,Hip,Metal shingle,EIFS,Wood-frame
1,105,21.0,2.0,Gable/Hip,Tile (clay),Stucco,Wood-frame
0,50,30.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,95,21.0,1.0,Hip,Asphalt shingles (laminated),Stucco,Wood-frame
0,50,37.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,105,42.0,2.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,110,43.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,110,37.0,2.0,Gable/Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,85,52.0,1.0,Gable,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,85,45.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,85,52.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,100,46.0,1.0,Gable/Hip,Standing Seam Metal,Stucco,Wood-frame
2,95,42.0,2.0,Hip,Metal shingle,Wood Siding,Wood-frame
2,95,45.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,85,52.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
2,100,43.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
0,85,47.0,1.0,Gable,Standing Seam Metal,Wood Siding,Wood-frame
0,85,47.0,2.0,Gable,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,95,31.0,1.0,Gable,Tile (concrete),Stucco,Wood-frame
1,95,22.0,1.0,Hip,Asphalt shingles (3-tab),Stucco,Wood-frame
1,95,45.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,85,52.0,1.0,Gable,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,70,46.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
2,100,49.0,2.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,100,49.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,95,50.0,2.0,Gable/Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
0,85,52.0,1.0,Gable,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,100,41.0,2.0,Gable/Hip,Standing Seam Metal,Wood Siding,Wood-frame
1,95,47.0,1.0,Gable,Metal shingle,Wood Siding,Wood-frame
2,100,50.0,1.0,Gable,Standing Seam Metal,Vinyl Siding,Wood-frame
1,95,45.0,2.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,95,46.0,2.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,100,36.0,1.0,Hip,Tile (concrete),Vinyl Siding,Wood-frame
2,100,41.0,2.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,100,50.0,1.0,Gable,Standing Seam Metal,Wood Siding,Wood-frame
1,100,50.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,70,52.0,1.0,Gable,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,70,52.0,1.0,Gable,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,45,46.0,1.0,Gable,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,105,19.0,2.0,Complex,Standing Seam Metal,Wood Siding,Wood-frame
0,50,52.0,1.0,Gable,Standing Seam Metal,Brick Veneer,Wood-frame
2,105,43.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,40,45.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,30,52.0,1.0,Gable,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,30,52.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
2,100,48.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,100,47.0,2.0,Complex,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,100,52.0,2.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,100,33.0,2.0,Complex,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,14.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,14.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
2,105,46.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,110,38.0,2.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,5,15.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,110,40.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
